oecd_provider_code,oecd_agency_code,oecd_channel_code,oecd_channel_name
104,1,47128,nordic development fund
104,2,47128,nordic development fund
811,1,47044,global environment facility trust fund
811,11,47044,global environment facility trust fund
811,12,47129,global environment facility least developed countries fund
811,13,47130,global environment facility special climate change fund
811,14,47044,global environment facility trust fund
811,15,47044,global environment facility trust fund
811,16,47044,global environment facility trust fund
812,1,47078,Multilateral Fund for the Implementation of the Montreal Protocol
901,1,44001,international bank for reconstruction and development
903,1,44004,international finance corporation
905,1,44002,international development association
906,1,46009,caribbean development bank
909,1,46012,inter american development bank inter american investment corporation and multilateral investment fund
909,2,46013,inter american development bank fund for special operations
909,3,46013,inter american development bank fund for special operations
909,4,46012,inter american development bank inter american investment corporation and multilateral investment fund
909,5,46012,inter american development bank inter american investment corporation and multilateral investment fund
909,6,46012,inter american development bank inter american investment corporation and multilateral investment fund
909,11,46013,inter american development bank fund for special operations
909,14,46013,inter american development bank fund for special operations
909,15,46012,inter american development bank inter american investment corporation and multilateral investment fund
909,16,46012,inter american development bank inter american investment corporation and multilateral investment fund
909,17,46012,inter american development bank inter american investment corporation and multilateral investment fund
909,18,46012,inter american development bank inter american investment corporation and multilateral investment fund
909,20,46012,inter american development bank inter american investment corporation and multilateral investment fund
910,1,46007,central american bank for economic integration
913,0,46002,african development bank
913,1,46002,african development bank
913,11,46002,african development bank
913,12,46002,african development bank
913,14,46002,african development bank
913,15,46002,african development bank
913,16,46002,african development bank
914,0,46003,african development fund
914,1,46003,african development fund
914,2,46003,african development fund
914,13,46003,african development fund
915,0,46004,asian development bank
915,1,46004,asian development bank
915,2,46004,asian development bank
915,3,46004,asian development bank
915,4,46004,asian development bank
915,6,46004,asian development bank
915,11,46004,asian development bank
915,12,46004,asian development bank
915,13,46004,asian development bank
916,0,46005,asian development fund
916,1,46005,asian development fund
918,1,42001,european commission development share of budget
918,2,42003,european commission european development fund
918,3,42004,european investment bank
918,4,42003,european commission european development fund
918,5,42003,european commission european development fund
932,1,41301,food and agricultural organisation
976,1,46025,islamic development bank
981,1,46006,black sea trade and development bank
988,1,41108,international fund for agricultural development
990,1,46015,european bank for reconstruction and development
1011,10,47134,clean technology fund
1011,20,47135,strategic climate fund
1011,21,47135,strategic climate fund
1011,22,47135,strategic climate fund
1011,23,47135,strategic climate fund
1012,1,47111,adaptation fund
1013,1,46024,council of europe development bank
1013,2,46024,council of europe development bank
1013,3,46024,council of europe development bank
1015,1,46008,development bank of latin america
1016,1,41317,green climate fund
1016,2,41317,green climate fund
1016,3,41317,green climate fund
1019,1,46012,inter american development bank inter american investment corporation and multilateral investment fund
1024,1,46026,asian infrastructure investment bank
1313,1,47136,global green growth institute
1313,2,47136,global green growth institute
1313,3,47136,global green growth institute
1313,4,47136,global green growth institute
,0,41316,united nations framework convention on climate change
,0,47067,intergovernmental panel on climate change
